"date";"Ïàé";"Ñ×À";"id"
2019-05-23;220.42;87305205.22;166
2019-05-22;224.72;89009824.72;166
2019-05-21;227.56;90134347;166
2019-05-20;223.81;88582390.81;166
2019-05-17;229.74;90930729.51;166
2019-05-16;233.2;92249852.83;166
2019-05-15;232.6;92014095.21;166
2019-05-14;232.38;91928635.06;166
2019-05-13;229.24;90799059.39;166
2019-05-08;239.75;94962463.84;166
2019-05-07;241.13;95620042.39;166
2019-05-06;245.93;97523472.58;166
2019-04-30;246.15;97611160.47;166
2019-04-29;246.63;97801743.05;166
2019-04-26;245.42;97272656.85;166
2019-04-25;242.84;96248172.8;166
2019-04-24;241.56;95740570.76;166
2019-04-23;243.63;96562300.49;166
2019-04-22;241.9;95875128.02;166
2019-04-19;241.03;96979636.04;166
2019-04-18;240.49;96856868.01;166
2019-04-17;242.41;97653702.84;166
2019-04-16;246.36;99245660.75;166
2019-04-15;247.77;99809704.43;166
2019-04-12;248.6;101158225.11;166
2019-04-11;248.58;101348847.3;166
2019-04-10;250.06;101956249.85;166
2019-04-09;248.89;101478473.59;166
2019-04-08;250.62;102181652.7;166
2019-04-05;249.6;101767289.39;166
2019-04-04;247;100707821.74;166
2019-04-03;250.65;102195829.8;166
2019-04-02;248.31;101275644.48;166
2019-04-01;244.95;99907056.16;166
2019-03-29;242.47;98893506.09;166
2019-03-28;239.79;97799081.95;166
2019-03-27;236.28;96389424.69;166
2019-03-26;240.8;98231009.4;166
2019-03-25;236.38;96428014.63;166
2019-03-22;236.76;96586783.87;166
2019-03-21;247.31;100890454.2;166
2019-03-20;242.45;98905832.32;166
2019-03-19;244.28;99650963.14;166
2019-03-18;246.17;100422736.22;166
2019-03-15;246.15;100416815.13;166
2019-03-14;245.81;100276045.45;166
2019-03-13;247.18;100836124.39;166
2019-03-12;246.88;100713720.58;166
2019-03-11;245.43;99991511.63;166
2019-03-07;239.9;97737554.92;166
2019-03-06;240.92;98151781.43;166
2019-03-05;244.38;99562235.43;166
2019-03-04;245.45;100000082.27;166
2019-03-01;249.11;106575794.67;166
2019-02-28;252.34;107958100.58;166
2019-02-27;253.01;108243370.59;166
2019-02-26;247.81;106019260.49;166
2019-02-25;250.09;109995244.92;166
